|tv|non_character_role|tv_regular_personal_appearances.|tv|tv_regular_personal_appearance|person	|tv|non_character_role
|tv|tv_writer|tv_programs.|tv|tv_program_writer_relationship|tv_program	|tv|tv_writer
|location|statistical_region|gdp_nominal_per_capita.|measurement_unit|dated_money_value|currency	|location|statistical_region
|soccer|football_team|current_roster.|soccer|football_roster_position|position	|soccer|football_team
|user|alexander|philosophy|philosopher|interests	|user|alexander|philosophy|philosopher
|people|profession|specialization_of	|people|profession
|award|award_category|disciplines_or_subjects	|award|award_category
|award|award_category|nominees.|award|award_nomination|nominated_for	|award|award_category
|award|award_nominee|award_nominations.|award|award_nomination|award	|award|award_nominee
|military|military_conflict|combatants.|military|military_combatant_group|combatants	|military|military_conflict
|music|instrument|instrumentalists	|music|instrument
|user|tsegaran|random|taxonomy_subject|entry.|user|tsegaran|random|taxonomy_entry|taxonomy	|user|tsegaran|random|taxonomy_subject
|education|university|domestic_tuition.|measurement_unit|dated_money_value|currency	|education|university
|base|marchmadness|ncaa_basketball_tournament|seeds.|base|marchmadness|ncaa_tournament_seed|team	|base|marchmadness|ncaa_basketball_tournament
|film|film|dubbing_performances.|film|dubbing_performance|actor	|film|film
|film|film|film_art_direction_by	|film|film
|organization|organization|child.|organization|organization_relationship|child	|organization|organization
|government|governmental_body|members.|government|government_position_held|legislative_sessions	|government|governmental_body
|film|film|produced_by	|film|film
|people|person|places_lived.|people|place_lived|location	|people|person
|base|biblioness|bibs_location|country	|base|biblioness|bibs_location
|music|record_label|artist	|music|record_label
|location|location|time_zones	|location|location
|award|hall_of_fame|inductees.|award|hall_of_fame_induction|inductee	|award|hall_of_fame
|music|artist|contribution.|music|recording_contribution|performance_role	|music|artist
|film|actor|film.|film|performance|film	|film|actor
|sports|pro_athlete|teams.|sports|sports_team_roster|team	|sports|pro_athlete
|award|award_category|winners.|award|award_honor|award_winner	|award|award_category
|film|film|genre	|film|film
|people|ethnicity|people	|people|ethnicity
|film|film|music	|film|film
|award|award_winning_work|awards_won.|award|award_honor|award_winner	|award|award_winning_work
|base|aareas|schema|administrative_area|administrative_area_type	|base|aareas|schema|administrative_area
|film|film_distributor|films_distributed.|film|film_film_distributor_relationship|film	|film|film_distributor
|location|statistical_region|gni_per_capita_in_ppp_dollars.|measurement_unit|dated_money_value|currency	|location|statistical_region
|film|film|personal_appearances.|film|personal_film_appearance|person	|film|film
|film|film|country	|film|film
|music|group_member|membership.|music|group_membership|role	|music|group_member
|tv|tv_program|genre	|tv|tv_program
|location|hud_county_place|place	|location|hud_county_place
|government|government_office_category|officeholders.|government|government_position_held|jurisdiction_of_office	|government|government_office_category
|location|hud_county_place|county	|location|hud_county_place
|film|film|film_production_design_by	|film|film
|film|film|other_crew.|film|film_crew_gig|crewmember	|film|film
|dataworld|gardening_hint|split_to	|dataworld|gardening_hint
|soccer|football_player|current_team.|sports|sports_team_roster|team	|soccer|football_player
|location|location|contains	|location|location
|education|educational_institution_campus|educational_institution	|education|educational_institution_campus
|medicine|symptom|symptom_of	|medicine|symptom
|people|person|gender	|people|person
|baseball|baseball_team|team_stats.|baseball|baseball_team_stats|season	|baseball|baseball_team
|people|person|spouse_s.|people|marriage|spouse	|people|person
|base|culturalevent|event|entity_involved	|base|culturalevent|event
|music|genre|parent_genre	|music|genre
|base|popstra|celebrity|dated.|base|popstra|dated|participant	|base|popstra|celebrity
|base|x2010fifaworldcupsouthafrica|world_cup_squad|current_world_cup_squad.|base|x2010fifaworldcupsouthafrica|current_world_cup_squad|current_club	|base|x2010fifaworldcupsouthafrica|world_cup_squad
|music|artist|track_contributions.|music|track_contribution|role	|music|artist
|base|petbreeds|city_with_dogs|top_breeds.|base|petbreeds|dog_city_relationship|dog_breed	|base|petbreeds|city_with_dogs
|soccer|football_team|current_roster.|sports|sports_team_roster|position	|soccer|football_team
|medicine|disease|risk_factors	|medicine|disease
|tv|tv_program|tv_producer.|tv|tv_producer_term|producer_type	|tv|tv_program
|sports|sports_team|roster.|american_football|football_roster_position|position	|sports|sports_team
|military|military_combatant|military_conflicts.|military|military_combatant_group|combatants	|military|military_combatant
|location|statistical_region|gdp_real.|measurement_unit|adjusted_money_value|adjustment_currency	|location|statistical_region
|film|film|distributors.|film|film_film_distributor_relationship|film_distribution_medium	|film|film
|sports|sports_team_location|teams	|sports|sports_team_location
|award|award_ceremony|awards_presented.|award|award_honor|award_winner	|award|award_ceremony
|award|award_winning_work|awards_won.|award|award_honor|honored_for	|award|award_winning_work
|government|legislative_session|members.|government|government_position_held|district_represented	|government|legislative_session
|location|capital_of_administrative_division|capital_of.|location|administrative_division_capital_relationship|administrative_division	|location|capital_of_administrative_division
|location|administrative_division|country	|location|administrative_division
|base|schemastaging|organization_extra|phone_number.|base|schemastaging|phone_sandbox|service_location	|base|schemastaging|organization_extra
|film|person_or_entity_appearing_in_film|films.|film|personal_film_appearance|type_of_appearance	|film|person_or_entity_appearing_in_film
|location|country|official_language	|location|country
|location|us_county|county_seat	|location|us_county
|tv|tv_program|languages	|tv|tv_program
|film|film_set_designer|film_sets_designed	|film|film_set_designer
|organization|role|leaders.|organization|leadership|organization	|organization|role
|film|film|distributors.|film|film_film_distributor_relationship|region	|film|film
|award|award_category|winners.|award|award_honor|ceremony	|award|award_category
|business|job_title|people_with_this_title.|business|employment_tenure|company	|business|job_title
|base|aareas|schema|administrative_area|administrative_parent	|base|aareas|schema|administrative_area
|sports|sports_team|roster.|basketball|basketball_roster_position|position	|sports|sports_team
|base|locations|continents|countries_within	|base|locations|continents
|people|person|profession	|people|person
|food|food|nutrients.|food|nutrition_fact|nutrient	|food|food
|education|educational_institution|school_type	|education|educational_institution
|music|group_member|membership.|music|group_membership|group	|music|group_member
|people|person|employment_history.|business|employment_tenure|company	|people|person
|tv|tv_personality|tv_regular_appearances.|tv|tv_regular_personal_appearance|program	|tv|tv_personality
|education|educational_degree|people_with_this_degree.|education|education|student	|education|educational_degree
|film|film|estimated_budget.|measurement_unit|dated_money_value|currency	|film|film
|film|film|release_date_s.|film|film_regional_release_date|film_release_distribution_medium	|film|film
|award|award_category|category_of	|award|award_category
|people|person|place_of_birth	|people|person
|location|location|partially_contains	|location|location
|language|human_language|countries_spoken_in	|language|human_language
|base|eating|practicer_of_diet|diet	|base|eating|practicer_of_diet
|film|film|runtime.|film|film_cut|film_release_region	|film|film
|film|film|prequel	|film|film
|sports|sports_team|sport	|sports|sports_team
|people|ethnicity|languages_spoken	|people|ethnicity
|olympics|olympic_games|medals_awarded.|olympics|olympic_medal_honor|medal	|olympics|olympic_games
|base|aareas|schema|administrative_area|capital	|base|aareas|schema|administrative_area
|education|field_of_study|students_majoring.|education|education|major_field_of_study	|education|field_of_study
|celebrities|celebrity|sexual_relationships.|celebrities|romantic_relationship|celebrity	|celebrities|celebrity
|people|person|spouse_s.|people|marriage|type_of_union	|people|person
|award|award_ceremony|awards_presented.|award|award_honor|honored_for	|award|award_ceremony
|base|localfood|seasonal_month|produce_available.|base|localfood|produce_availability|seasonal_months	|base|localfood|seasonal_month
|award|ranked_item|appears_in_ranked_lists.|award|ranking|list	|award|ranked_item
|time|event|locations	|time|event
|music|instrument|family	|music|instrument
|film|film|story_by	|film|film
|education|educational_institution|students_graduates.|education|education|student	|education|educational_institution
|film|film|other_crew.|film|film_crew_gig|film_crew_role	|film|film
|base|schemastaging|person_extra|net_worth.|measurement_unit|dated_money_value|currency	|base|schemastaging|person_extra
|tv|tv_program|program_creator	|tv|tv_program
|location|country|capital	|location|country
|organization|non_profit_organization|registered_with.|organization|non_profit_registration|registering_agency	|organization|non_profit_organization
|government|politician|government_positions_held.|government|government_position_held|basic_title	|government|politician
|film|film_subject|films	|film|film_subject
|organization|organization|place_founded	|organization|organization
|education|educational_institution|campuses	|education|educational_institution
|base|americancomedy|celebrity_impressionist|celebrities_impersonated	|base|americancomedy|celebrity_impressionist
|education|educational_institution|colors	|education|educational_institution
|people|person|nationality	|people|person
|music|artist|origin	|music|artist
|american_football|football_team|current_roster.|sports|sports_team_roster|position	|american_football|football_team
|people|person|languages	|people|person
|education|field_of_study|students_majoring.|education|education|student	|education|field_of_study
|sports|sports_team|roster.|baseball|baseball_roster_position|position	|sports|sports_team
|film|film|written_by	|film|film
|film|film|release_date_s.|film|film_regional_release_date|film_release_region	|film|film
|olympics|olympic_participating_country|medals_won.|olympics|olympic_medal_honor|olympics	|olympics|olympic_participating_country
|award|award_nominee|award_nominations.|award|award_nomination|nominated_for	|award|award_nominee
|olympics|olympic_games|participating_countries	|olympics|olympic_games
|government|political_party|politicians_in_this_party.|government|political_party_tenure|politician	|government|political_party
|sports|professional_sports_team|draft_picks.|sports|sports_league_draft_pick|draft	|sports|professional_sports_team
|base|popstra|location|vacationers.|base|popstra|vacation_choice|vacationer	|base|popstra|location
|sports|sports_position|players.|sports|sports_team_roster|team	|sports|sports_position
|time|event|instance_of_recurring_event	|time|event
|tv|tv_program|country_of_origin	|tv|tv_program
|film|film|film_format	|film|film
|base|popstra|celebrity|canoodled.|base|popstra|canoodled|participant	|base|popstra|celebrity
|education|university|local_tuition.|measurement_unit|dated_money_value|currency	|education|university
|tv|tv_network|programs.|tv|tv_network_duration|program	|tv|tv_network
|organization|organization|headquarters.|location|mailing_address|state_province_region	|organization|organization
|user|ktrueman|default_domain|international_organization|member_states	|user|ktrueman|default_domain|international_organization
|education|university|international_tuition.|measurement_unit|dated_money_value|currency	|education|university
|media_common|netflix_genre|titles	|media_common|netflix_genre
|film|film|production_companies	|film|film
|location|statistical_region|gdp_nominal.|measurement_unit|dated_money_value|currency	|location|statistical_region
|film|film|edited_by	|film|film
