|film|film|costume_design_by	|film|film_costumer_designer
|award|award_category|nominees.|award|award_nomination|nominated_for	|award|award_nominated_work
|award|award_nominee|award_nominations.|award|award_nomination|award	|award|award_category
|military|military_conflict|combatants.|military|military_combatant_group|combatants	|military|military_combatant
|music|instrument|instrumentalists	|music|group_member
|user|tsegaran|random|taxonomy_subject|entry.|user|tsegaran|random|taxonomy_entry|taxonomy	|user|tsegaran|random|subject_taxonomy
|education|university|domestic_tuition.|measurement_unit|dated_money_value|currency	|finance|currency
|base|marchmadness|ncaa_basketball_tournament|seeds.|base|marchmadness|ncaa_tournament_seed|team	|base|marchmadness|ncaa_basketball_team
|film|film|dubbing_performances.|film|dubbing_performance|actor	|film|actor
|film|film|film_art_direction_by	|film|film_art_director
|organization|organization|child.|organization|organization_relationship|child	|organization|organization
|government|governmental_body|members.|government|government_position_held|legislative_sessions	|government|legislative_session
|film|film|produced_by	|film|producer
|people|person|places_lived.|people|place_lived|location	|location|location
|base|biblioness|bibs_location|country	|location|location
|music|record_label|artist	|music|artist
|location|location|time_zones	|time|time_zone
|award|hall_of_fame|inductees.|award|hall_of_fame_induction|inductee	|award|hall_of_fame_inductee
|music|artist|contribution.|music|recording_contribution|performance_role	|music|performance_role
|film|actor|film.|film|performance|film	|film|film
|sports|pro_athlete|teams.|sports|sports_team_roster|team	|sports|sports_team
|award|award_category|winners.|award|award_honor|award_winner	|award|award_winner
|film|film|genre	|film|film_genre
|people|ethnicity|people	|people|person
|film|film|music	|film|music_contributor
|award|award_winning_work|awards_won.|award|award_honor|award_winner	|award|award_winner
|base|aareas|schema|administrative_area|administrative_area_type	|base|aareas|schema|administrative_area_type
|film|film_distributor|films_distributed.|film|film_film_distributor_relationship|film	|film|film
|location|statistical_region|gni_per_capita_in_ppp_dollars.|measurement_unit|dated_money_value|currency	|finance|currency
|film|film|personal_appearances.|film|personal_film_appearance|person	|film|person_or_entity_appearing_in_film
|film|film|country	|location|country
|music|group_member|membership.|music|group_membership|role	|music|performance_role
|tv|tv_program|genre	|tv|tv_genre
|location|hud_county_place|place	|location|location
|government|government_office_category|officeholders.|government|government_position_held|jurisdiction_of_office	|government|governmental_jurisdiction
|location|hud_county_place|county	|location|us_county
|film|film|film_production_design_by	|film|film_production_designer
|film|film|other_crew.|film|film_crew_gig|crewmember	|film|film_crewmember
|dataworld|gardening_hint|split_to	|type|object
|soccer|football_player|current_team.|sports|sports_team_roster|team	|sports|sports_team
|location|location|contains	|location|location
|education|educational_institution_campus|educational_institution	|education|educational_institution
|medicine|symptom|symptom_of	|medicine|disease
|people|person|gender	|people|gender
|baseball|baseball_team|team_stats.|baseball|baseball_team_stats|season	|sports|sports_league_season
|people|person|spouse_s.|people|marriage|spouse	|people|person
|base|culturalevent|event|entity_involved	|common|topic
|music|genre|parent_genre	|music|genre
|base|popstra|celebrity|dated.|base|popstra|dated|participant	|base|popstra|celebrity
|base|x2010fifaworldcupsouthafrica|world_cup_squad|current_world_cup_squad.|base|x2010fifaworldcupsouthafrica|current_world_cup_squad|current_club	|soccer|football_team
|music|artist|track_contributions.|music|track_contribution|role	|music|performance_role
|base|petbreeds|city_with_dogs|top_breeds.|base|petbreeds|dog_city_relationship|dog_breed	|base|petbreeds|dog_breed
|soccer|football_team|current_roster.|sports|sports_team_roster|position	|sports|sports_position
|medicine|disease|risk_factors	|medicine|risk_factor
|tv|tv_program|tv_producer.|tv|tv_producer_term|producer_type	|tv|tv_producer_type
|sports|sports_team|roster.|american_football|football_roster_position|position	|american_football|position
|military|military_combatant|military_conflicts.|military|military_combatant_group|combatants	|military|military_combatant
|location|statistical_region|gdp_real.|measurement_unit|adjusted_money_value|adjustment_currency	|finance|currency
|film|film|distributors.|film|film_film_distributor_relationship|film_distribution_medium	|film|film_distribution_medium
|sports|sports_team_location|teams	|sports|sports_team
|award|award_ceremony|awards_presented.|award|award_honor|award_winner	|award|award_winner
|award|award_winning_work|awards_won.|award|award_honor|honored_for	|award|award_winning_work
|government|legislative_session|members.|government|government_position_held|district_represented	|government|political_district
|location|capital_of_administrative_division|capital_of.|location|administrative_division_capital_relationship|administrative_division	|location|administrative_division
|location|administrative_division|country	|location|country
|base|schemastaging|organization_extra|phone_number.|base|schemastaging|phone_sandbox|service_location	|location|location
|film|person_or_entity_appearing_in_film|films.|film|personal_film_appearance|type_of_appearance	|film|personal_film_appearance_type
|location|country|official_language	|language|human_language
|location|us_county|county_seat	|location|citytown
|tv|tv_program|languages	|language|human_language
|film|film_set_designer|film_sets_designed	|film|film
|organization|role|leaders.|organization|leadership|organization	|organization|organization
|film|film|distributors.|film|film_film_distributor_relationship|region	|location|location
|award|award_category|winners.|award|award_honor|ceremony	|award|award_ceremony
|business|job_title|people_with_this_title.|business|employment_tenure|company	|business|employer
|base|aareas|schema|administrative_area|administrative_parent	|base|aareas|schema|administrative_area
|sports|sports_team|roster.|basketball|basketball_roster_position|position	|basketball|basketball_position
|base|locations|continents|countries_within	|base|locations|countries
|people|person|profession	|people|profession
|food|food|nutrients.|food|nutrition_fact|nutrient	|food|nutrient
|education|educational_institution|school_type	|education|school_category
|music|group_member|membership.|music|group_membership|group	|music|musical_group
|people|person|employment_history.|business|employment_tenure|company	|business|employer
|tv|tv_personality|tv_regular_appearances.|tv|tv_regular_personal_appearance|program	|tv|tv_program
|education|educational_degree|people_with_this_degree.|education|education|student	|people|person
|film|film|estimated_budget.|measurement_unit|dated_money_value|currency	|finance|currency
|film|film|release_date_s.|film|film_regional_release_date|film_release_distribution_medium	|film|film_distribution_medium
|award|award_category|category_of	|award|award
|people|person|place_of_birth	|location|location
|location|location|partially_contains	|location|location
|language|human_language|countries_spoken_in	|location|country
|base|eating|practicer_of_diet|diet	|base|eating|diets
|film|film|runtime.|film|film_cut|film_release_region	|location|location
|film|film|prequel	|film|film
|sports|sports_team|sport	|sports|sport
|people|ethnicity|languages_spoken	|language|human_language
|olympics|olympic_games|medals_awarded.|olympics|olympic_medal_honor|medal	|olympics|olympic_medal
|base|aareas|schema|administrative_area|capital	|base|aareas|schema|earth|citytown
|education|field_of_study|students_majoring.|education|education|major_field_of_study	|education|field_of_study
|celebrities|celebrity|sexual_relationships.|celebrities|romantic_relationship|celebrity	|celebrities|celebrity
|people|person|spouse_s.|people|marriage|type_of_union	|people|marriage_union_type
|award|award_ceremony|awards_presented.|award|award_honor|honored_for	|award|award_winning_work
|base|localfood|seasonal_month|produce_available.|base|localfood|produce_availability|seasonal_months	|base|localfood|seasonal_month
|award|ranked_item|appears_in_ranked_lists.|award|ranking|list	|award|ranked_list
|time|event|locations	|location|location
|music|instrument|family	|music|instrument
|film|film|story_by	|film|film_story_contributor
|education|educational_institution|students_graduates.|education|education|student	|people|person
|film|film|other_crew.|film|film_crew_gig|film_crew_role	|film|film_job
|base|schemastaging|person_extra|net_worth.|measurement_unit|dated_money_value|currency	|finance|currency
|tv|tv_program|program_creator	|tv|tv_program_creator
|location|country|capital	|location|citytown
|organization|non_profit_organization|registered_with.|organization|non_profit_registration|registering_agency	|government|government_agency
|government|politician|government_positions_held.|government|government_position_held|basic_title	|government|government_office_category
|film|film_subject|films	|film|film
|organization|organization|place_founded	|location|location
|education|educational_institution|campuses	|education|educational_institution_campus
|base|americancomedy|celebrity_impressionist|celebrities_impersonated	|base|americancomedy|impersonated_celebrity
|education|educational_institution|colors	|visual_art|color
|people|person|nationality	|location|country
|music|artist|origin	|location|location
|american_football|football_team|current_roster.|sports|sports_team_roster|position	|sports|sports_position
|people|person|languages	|language|human_language
|education|field_of_study|students_majoring.|education|education|student	|people|person
|sports|sports_team|roster.|baseball|baseball_roster_position|position	|baseball|baseball_position
|film|film|written_by	|film|writer
|film|film|release_date_s.|film|film_regional_release_date|film_release_region	|location|location
|olympics|olympic_participating_country|medals_won.|olympics|olympic_medal_honor|olympics	|olympics|olympic_games
|award|award_nominee|award_nominations.|award|award_nomination|nominated_for	|award|award_nominated_work
|olympics|olympic_games|participating_countries	|olympics|olympic_participating_country
|government|political_party|politicians_in_this_party.|government|political_party_tenure|politician	|government|politician
|sports|professional_sports_team|draft_picks.|sports|sports_league_draft_pick|draft	|sports|sports_league_draft
|base|popstra|location|vacationers.|base|popstra|vacation_choice|vacationer	|base|popstra|celebrity
|sports|sports_position|players.|sports|sports_team_roster|team	|sports|sports_team
|time|event|instance_of_recurring_event	|time|recurring_event
|tv|tv_program|country_of_origin	|location|country
|film|film|film_format	|film|film_format
|base|popstra|celebrity|canoodled.|base|popstra|canoodled|participant	|base|popstra|celebrity
|education|university|local_tuition.|measurement_unit|dated_money_value|currency	|finance|currency
|tv|tv_network|programs.|tv|tv_network_duration|program	|tv|tv_program
|organization|organization|headquarters.|location|mailing_address|state_province_region	|location|administrative_division
|user|ktrueman|default_domain|international_organization|member_states	|location|country
|education|university|international_tuition.|measurement_unit|dated_money_value|currency	|finance|currency
|media_common|netflix_genre|titles	|media_common|netflix_title
|film|film|production_companies	|film|production_company
|location|statistical_region|gdp_nominal.|measurement_unit|dated_money_value|currency	|finance|currency
|film|film|edited_by	|film|editor
